X,Y,Diameter,White,Presentation Time
-150.0,30.0,4.0,1.0,0.1
-150.0,35.0,4.0,0.0,0.1
-150.0,35.0,4.0,1.0,0.1
-150.0,40.0,4.0,0.0,0.1
-150.0,40.0,4.0,1.0,0.1
-145.0,15.0,4.0,0.0,0.1
-145.0,15.0,4.0,1.0,0.1
-145.0,20.0,4.0,0.0,0.1
-145.0,20.0,4.0,1.0,0.1
-145.0,25.0,4.0,0.0,0.1
-145.0,25.0,4.0,1.0,0.1
-145.0,30.0,4.0,0.0,0.1
-145.0,30.0,4.0,1.0,0.1
-145.0,35.0,4.0,0.0,0.1
-145.0,35.0,4.0,1.0,0.1
-145.0,40.0,4.0,0.0,0.1
-145.0,40.0,4.0,1.0,0.1
-140.0,15.0,4.0,0.0,0.1
-140.0,15.0,4.0,1.0,0.1
-140.0,20.0,4.0,0.0,0.1
-140.0,20.0,4.0,1.0,0.1
-140.0,25.0,4.0,0.0,0.1
-140.0,25.0,4.0,1.0,0.1
-140.0,30.0,4.0,0.0,0.1
-140.0,30.0,4.0,1.0,0.1
-140.0,35.0,4.0,0.0,0.1
-140.0,35.0,4.0,1.0,0.1
-140.0,40.0,4.0,0.0,0.1
-140.0,40.0,4.0,1.0,0.1
-135.0,15.0,4.0,0.0,0.1
-135.0,15.0,4.0,1.0,0.1
-135.0,20.0,4.0,0.0,0.1
-135.0,20.0,4.0,1.0,0.1
-135.0,25.0,4.0,0.0,0.1
-135.0,25.0,4.0,1.0,0.1
-135.0,30.0,4.0,0.0,0.1
-135.0,30.0,4.0,1.0,0.1
-135.0,35.0,4.0,0.0,0.1
-135.0,35.0,4.0,1.0,0.1
-135.0,40.0,4.0,0.0,0.1
-135.0,40.0,4.0,1.0,0.1
-150.0,15.0,8.0,0.0,0.1
-150.0,15.0,8.0,1.0,0.1
-150.0,20.0,8.0,0.0,0.1
-150.0,20.0,8.0,1.0,0.1
-150.0,25.0,8.0,0.0,0.1
-150.0,25.0,8.0,1.0,0.1
-150.0,30.0,8.0,0.0,0.1
-150.0,30.0,8.0,1.0,0.1
-150.0,35.0,8.0,0.0,0.1
-150.0,35.0,8.0,1.0,0.1
-150.0,40.0,8.0,0.0,0.1
-150.0,40.0,8.0,1.0,0.1
-145.0,15.0,8.0,0.0,0.1
-145.0,15.0,8.0,1.0,0.1
-145.0,20.0,8.0,0.0,0.1
-145.0,20.0,8.0,1.0,0.1
-145.0,25.0,8.0,0.0,0.1
-145.0,25.0,8.0,1.0,0.1
-145.0,30.0,8.0,0.0,0.1
-145.0,30.0,8.0,1.0,0.1
-145.0,35.0,8.0,0.0,0.1
-145.0,35.0,8.0,1.0,0.1
-145.0,40.0,8.0,0.0,0.1
-145.0,40.0,8.0,1.0,0.1
-140.0,15.0,8.0,0.0,0.1
-140.0,15.0,8.0,1.0,0.1
-140.0,20.0,8.0,0.0,0.1
-140.0,20.0,8.0,1.0,0.1
-140.0,25.0,8.0,0.0,0.1
-140.0,25.0,8.0,1.0,0.1
-140.0,30.0,8.0,0.0,0.1
-140.0,30.0,8.0,1.0,0.1
-140.0,35.0,8.0,0.0,0.1
-140.0,35.0,8.0,1.0,0.1
-140.0,40.0,8.0,0.0,0.1
-140.0,40.0,8.0,1.0,0.1
-135.0,15.0,8.0,0.0,0.1
-135.0,15.0,8.0,1.0,0.1
-135.0,20.0,8.0,0.0,0.1
-135.0,20.0,8.0,1.0,0.1
-135.0,25.0,8.0,0.0,0.1
-135.0,25.0,8.0,1.0,0.1
-135.0,30.0,8.0,0.0,0.1
-135.0,30.0,8.0,1.0,0.1
-135.0,35.0,8.0,0.0,0.1
-135.0,35.0,8.0,1.0,0.1
-135.0,40.0,8.0,0.0,0.1
-135.0,40.0,8.0,1.0,0.1
-150.0,15.0,16.0,0.0,0.1
-150.0,15.0,16.0,1.0,0.1
-150.0,20.0,16.0,0.0,0.1
-150.0,20.0,16.0,1.0,0.1
-150.0,25.0,16.0,0.0,0.1
-150.0,25.0,16.0,1.0,0.1
-150.0,30.0,16.0,0.0,0.1
-150.0,30.0,16.0,1.0,0.1
-150.0,35.0,16.0,0.0,0.1
-150.0,35.0,16.0,1.0,0.1
-150.0,40.0,16.0,0.0,0.1
-150.0,40.0,16.0,1.0,0.1
-145.0,15.0,16.0,0.0,0.1
-145.0,15.0,16.0,1.0,0.1
-145.0,20.0,16.0,0.0,0.1
-145.0,20.0,16.0,1.0,0.1
-145.0,25.0,16.0,0.0,0.1
-145.0,25.0,16.0,1.0,0.1
-145.0,30.0,16.0,0.0,0.1
-145.0,30.0,16.0,1.0,0.1
-145.0,35.0,16.0,0.0,0.1
-145.0,35.0,16.0,1.0,0.1
-145.0,40.0,16.0,0.0,0.1
-145.0,40.0,16.0,1.0,0.1
-140.0,15.0,16.0,0.0,0.1
-140.0,15.0,16.0,1.0,0.1
-140.0,20.0,16.0,0.0,0.1
-140.0,20.0,16.0,1.0,0.1
-140.0,25.0,16.0,0.0,0.1
-140.0,25.0,16.0,1.0,0.1
-140.0,30.0,16.0,0.0,0.1
-140.0,30.0,16.0,1.0,0.1
-140.0,35.0,16.0,0.0,0.1
-140.0,35.0,16.0,1.0,0.1
-140.0,40.0,16.0,0.0,0.1
-140.0,40.0,16.0,1.0,0.1
-135.0,15.0,16.0,0.0,0.1
-135.0,15.0,16.0,1.0,0.1
-135.0,20.0,16.0,0.0,0.1
-135.0,20.0,16.0,1.0,0.1
-135.0,25.0,16.0,0.0,0.1
-135.0,25.0,16.0,1.0,0.1
-135.0,30.0,16.0,0.0,0.1
-135.0,30.0,16.0,1.0,0.1
-135.0,35.0,16.0,0.0,0.1
-135.0,35.0,16.0,1.0,0.1
-135.0,40.0,16.0,0.0,0.1
-135.0,40.0,16.0,1.0,0.1
-150.0,15.0,32.0,0.0,0.1
-150.0,15.0,32.0,1.0,0.1
-150.0,20.0,32.0,0.0,0.1
-150.0,20.0,32.0,1.0,0.1
-150.0,25.0,32.0,0.0,0.1
-150.0,25.0,32.0,1.0,0.1
-150.0,30.0,32.0,0.0,0.1
-150.0,30.0,32.0,1.0,0.1
-150.0,35.0,32.0,0.0,0.1
-150.0,35.0,32.0,1.0,0.1
-150.0,40.0,32.0,0.0,0.1
-150.0,40.0,32.0,1.0,0.1
-145.0,15.0,32.0,0.0,0.1
-145.0,15.0,32.0,1.0,0.1
-145.0,20.0,32.0,0.0,0.1
-145.0,20.0,32.0,1.0,0.1
-145.0,25.0,32.0,0.0,0.1
-145.0,25.0,32.0,1.0,0.1
-145.0,30.0,32.0,0.0,0.1
-145.0,30.0,32.0,1.0,0.1
-145.0,35.0,32.0,0.0,0.1
-145.0,35.0,32.0,1.0,0.1
-145.0,40.0,32.0,0.0,0.1
-145.0,40.0,32.0,1.0,0.1
-140.0,15.0,32.0,0.0,0.1
-140.0,15.0,32.0,1.0,0.1
-140.0,20.0,32.0,0.0,0.1
-140.0,20.0,32.0,1.0,0.1
-140.0,25.0,32.0,0.0,0.1
-140.0,25.0,32.0,1.0,0.1
-140.0,30.0,32.0,0.0,0.1
-140.0,30.0,32.0,1.0,0.1
-140.0,35.0,32.0,0.0,0.1
-140.0,35.0,32.0,1.0,0.1
-140.0,40.0,32.0,0.0,0.1
-140.0,40.0,32.0,1.0,0.1
-135.0,15.0,32.0,0.0,0.1
-135.0,15.0,32.0,1.0,0.1
-135.0,20.0,32.0,0.0,0.1
-135.0,20.0,32.0,1.0,0.1
-135.0,25.0,32.0,0.0,0.1
-135.0,25.0,32.0,1.0,0.1
-135.0,30.0,32.0,0.0,0.1
-135.0,30.0,32.0,1.0,0.1
-135.0,35.0,32.0,0.0,0.1
-135.0,35.0,32.0,1.0,0.1
-135.0,40.0,32.0,0.0,0.1
-135.0,40.0,32.0,1.0,0.1
