X,Y,Diameter,White,Presentation Time
-130.0,15.0,2.0,0.0,0.1
-130.0,15.0,2.0,1.0,0.1
-130.0,20.0,2.0,0.0,0.1
-130.0,20.0,2.0,1.0,0.1
-125.0,-10.0,2.0,0.0,0.1
-125.0,-10.0,2.0,1.0,0.1
-125.0,-5.0,2.0,0.0,0.1
-125.0,-5.0,2.0,1.0,0.1
-125.0,0.0,2.0,0.0,0.1
-125.0,0.0,2.0,1.0,0.1
-125.0,5.0,2.0,0.0,0.1
-125.0,5.0,2.0,1.0,0.1
-125.0,10.0,2.0,0.0,0.1
-125.0,10.0,2.0,1.0,0.1
-125.0,15.0,2.0,0.0,0.1
-125.0,15.0,2.0,1.0,0.1
-125.0,20.0,2.0,0.0,0.1
-125.0,20.0,2.0,1.0,0.1
-120.0,-10.0,2.0,0.0,0.1
-120.0,-10.0,2.0,1.0,0.1
-120.0,-5.0,2.0,0.0,0.1
-120.0,-5.0,2.0,1.0,0.1
-120.0,0.0,2.0,0.0,0.1
-120.0,0.0,2.0,1.0,0.1
-120.0,5.0,2.0,0.0,0.1
-120.0,5.0,2.0,1.0,0.1
-120.0,10.0,2.0,0.0,0.1
-120.0,10.0,2.0,1.0,0.1
-120.0,15.0,2.0,0.0,0.1
-120.0,15.0,2.0,1.0,0.1
-120.0,20.0,2.0,0.0,0.1
-120.0,20.0,2.0,1.0,0.1
-115.0,-10.0,2.0,0.0,0.1
-115.0,-10.0,2.0,1.0,0.1
-115.0,-5.0,2.0,0.0,0.1
-115.0,-5.0,2.0,1.0,0.1
-115.0,0.0,2.0,0.0,0.1
-115.0,0.0,2.0,1.0,0.1
-115.0,5.0,2.0,0.0,0.1
-115.0,5.0,2.0,1.0,0.1
-115.0,10.0,2.0,0.0,0.1
-115.0,10.0,2.0,1.0,0.1
-115.0,15.0,2.0,0.0,0.1
-115.0,15.0,2.0,1.0,0.1
-115.0,20.0,2.0,0.0,0.1
-115.0,20.0,2.0,1.0,0.1
-110.0,-10.0,2.0,0.0,0.1
-110.0,-10.0,2.0,1.0,0.1
-110.0,-5.0,2.0,0.0,0.1
-110.0,-5.0,2.0,1.0,0.1
-110.0,0.0,2.0,0.0,0.1
-110.0,0.0,2.0,1.0,0.1
-110.0,5.0,2.0,0.0,0.1
-110.0,5.0,2.0,1.0,0.1
-110.0,10.0,2.0,0.0,0.1
-110.0,10.0,2.0,1.0,0.1
-110.0,15.0,2.0,0.0,0.1
-110.0,15.0,2.0,1.0,0.1
-110.0,20.0,2.0,0.0,0.1
-110.0,20.0,2.0,1.0,0.1
-105.0,-10.0,2.0,0.0,0.1
-105.0,-10.0,2.0,1.0,0.1
-105.0,-5.0,2.0,0.0,0.1
-105.0,-5.0,2.0,1.0,0.1
-105.0,0.0,2.0,0.0,0.1
-105.0,0.0,2.0,1.0,0.1
-105.0,5.0,2.0,0.0,0.1
-105.0,5.0,2.0,1.0,0.1
-105.0,10.0,2.0,0.0,0.1
-105.0,10.0,2.0,1.0,0.1
-105.0,15.0,2.0,0.0,0.1
-105.0,15.0,2.0,1.0,0.1
-105.0,20.0,2.0,0.0,0.1
-105.0,20.0,2.0,1.0,0.1
-100.0,-10.0,2.0,0.0,0.1
-100.0,-10.0,2.0,1.0,0.1
-100.0,-5.0,2.0,0.0,0.1
-100.0,-5.0,2.0,1.0,0.1
-100.0,0.0,2.0,0.0,0.1
-100.0,0.0,2.0,1.0,0.1
-100.0,5.0,2.0,0.0,0.1
-100.0,5.0,2.0,1.0,0.1
-100.0,10.0,2.0,0.0,0.1
-100.0,10.0,2.0,1.0,0.1
-100.0,15.0,2.0,0.0,0.1
-100.0,15.0,2.0,1.0,0.1
-100.0,20.0,2.0,0.0,0.1
-100.0,20.0,2.0,1.0,0.1
-140.0,-10.0,4.0,0.0,0.1
-140.0,-10.0,4.0,1.0,0.1
-140.0,-5.0,4.0,0.0,0.1
-140.0,-5.0,4.0,1.0,0.1
-140.0,0.0,4.0,0.0,0.1
-140.0,0.0,4.0,1.0,0.1
-140.0,5.0,4.0,0.0,0.1
-140.0,5.0,4.0,1.0,0.1
-140.0,10.0,4.0,0.0,0.1
-140.0,10.0,4.0,1.0,0.1
-140.0,15.0,4.0,0.0,0.1
-140.0,15.0,4.0,1.0,0.1
-140.0,20.0,4.0,0.0,0.1
-140.0,20.0,4.0,1.0,0.1
-135.0,-10.0,4.0,0.0,0.1
-135.0,-10.0,4.0,1.0,0.1
-135.0,-5.0,4.0,0.0,0.1
-135.0,-5.0,4.0,1.0,0.1
-135.0,0.0,4.0,0.0,0.1
-135.0,0.0,4.0,1.0,0.1
-135.0,5.0,4.0,0.0,0.1
-135.0,5.0,4.0,1.0,0.1
-135.0,10.0,4.0,0.0,0.1
-135.0,10.0,4.0,1.0,0.1
-135.0,15.0,4.0,0.0,0.1
-135.0,15.0,4.0,1.0,0.1
-135.0,20.0,4.0,0.0,0.1
-135.0,20.0,4.0,1.0,0.1
-130.0,-10.0,4.0,0.0,0.1
-130.0,-10.0,4.0,1.0,0.1
-130.0,-5.0,4.0,0.0,0.1
-130.0,-5.0,4.0,1.0,0.1
-130.0,0.0,4.0,0.0,0.1
-130.0,0.0,4.0,1.0,0.1
-130.0,5.0,4.0,0.0,0.1
-130.0,5.0,4.0,1.0,0.1
-130.0,10.0,4.0,0.0,0.1
-130.0,10.0,4.0,1.0,0.1
-130.0,15.0,4.0,0.0,0.1
-130.0,15.0,4.0,1.0,0.1
-130.0,20.0,4.0,0.0,0.1
-130.0,20.0,4.0,1.0,0.1
-125.0,-10.0,4.0,0.0,0.1
-125.0,-10.0,4.0,1.0,0.1
-125.0,-5.0,4.0,0.0,0.1
-125.0,-5.0,4.0,1.0,0.1
-125.0,0.0,4.0,0.0,0.1
-125.0,0.0,4.0,1.0,0.1
-125.0,5.0,4.0,0.0,0.1
-125.0,5.0,4.0,1.0,0.1
-125.0,10.0,4.0,0.0,0.1
-125.0,10.0,4.0,1.0,0.1
-125.0,15.0,4.0,0.0,0.1
-125.0,15.0,4.0,1.0,0.1
-125.0,20.0,4.0,0.0,0.1
-125.0,20.0,4.0,1.0,0.1
-120.0,-10.0,4.0,0.0,0.1
-120.0,-10.0,4.0,1.0,0.1
-120.0,-5.0,4.0,0.0,0.1
-120.0,-5.0,4.0,1.0,0.1
-120.0,0.0,4.0,0.0,0.1
-120.0,0.0,4.0,1.0,0.1
-120.0,5.0,4.0,0.0,0.1
-120.0,5.0,4.0,1.0,0.1
-120.0,10.0,4.0,0.0,0.1
-120.0,10.0,4.0,1.0,0.1
-120.0,15.0,4.0,0.0,0.1
-120.0,15.0,4.0,1.0,0.1
-120.0,20.0,4.0,0.0,0.1
-120.0,20.0,4.0,1.0,0.1
-115.0,-10.0,4.0,0.0,0.1
-115.0,-10.0,4.0,1.0,0.1
-115.0,-5.0,4.0,0.0,0.1
-115.0,-5.0,4.0,1.0,0.1
-115.0,0.0,4.0,0.0,0.1
-115.0,0.0,4.0,1.0,0.1
-115.0,5.0,4.0,0.0,0.1
-115.0,5.0,4.0,1.0,0.1
-115.0,10.0,4.0,0.0,0.1
-115.0,10.0,4.0,1.0,0.1
-115.0,15.0,4.0,0.0,0.1
-115.0,15.0,4.0,1.0,0.1
-115.0,20.0,4.0,0.0,0.1
-115.0,20.0,4.0,1.0,0.1
-110.0,-10.0,4.0,0.0,0.1
-110.0,-10.0,4.0,1.0,0.1
-110.0,-5.0,4.0,0.0,0.1
-110.0,-5.0,4.0,1.0,0.1
-110.0,0.0,4.0,0.0,0.1
-110.0,0.0,4.0,1.0,0.1
-110.0,5.0,4.0,0.0,0.1
-110.0,5.0,4.0,1.0,0.1
-110.0,10.0,4.0,0.0,0.1
-110.0,10.0,4.0,1.0,0.1
-110.0,15.0,4.0,0.0,0.1
-110.0,15.0,4.0,1.0,0.1
-110.0,20.0,4.0,0.0,0.1
-110.0,20.0,4.0,1.0,0.1
-105.0,-10.0,4.0,0.0,0.1
-105.0,-10.0,4.0,1.0,0.1
-105.0,-5.0,4.0,0.0,0.1
-105.0,-5.0,4.0,1.0,0.1
-105.0,0.0,4.0,0.0,0.1
-105.0,0.0,4.0,1.0,0.1
-105.0,5.0,4.0,0.0,0.1
-105.0,5.0,4.0,1.0,0.1
-105.0,10.0,4.0,0.0,0.1
-105.0,10.0,4.0,1.0,0.1
-105.0,15.0,4.0,0.0,0.1
-105.0,15.0,4.0,1.0,0.1
-105.0,20.0,4.0,0.0,0.1
-105.0,20.0,4.0,1.0,0.1
-100.0,-10.0,4.0,0.0,0.1
-100.0,-10.0,4.0,1.0,0.1
-100.0,-5.0,4.0,0.0,0.1
-100.0,-5.0,4.0,1.0,0.1
-100.0,0.0,4.0,0.0,0.1
-100.0,0.0,4.0,1.0,0.1
-100.0,5.0,4.0,0.0,0.1
-100.0,5.0,4.0,1.0,0.1
-100.0,10.0,4.0,0.0,0.1
-100.0,10.0,4.0,1.0,0.1
-100.0,15.0,4.0,0.0,0.1
-100.0,15.0,4.0,1.0,0.1
-100.0,20.0,4.0,0.0,0.1
-100.0,20.0,4.0,1.0,0.1
-140.0,-10.0,8.0,0.0,0.1
-140.0,-10.0,8.0,1.0,0.1
-140.0,-5.0,8.0,0.0,0.1
-140.0,-5.0,8.0,1.0,0.1
-140.0,0.0,8.0,0.0,0.1
-140.0,0.0,8.0,1.0,0.1
-140.0,5.0,8.0,0.0,0.1
-140.0,5.0,8.0,1.0,0.1
-140.0,10.0,8.0,0.0,0.1
-140.0,10.0,8.0,1.0,0.1
-140.0,15.0,8.0,0.0,0.1
-140.0,15.0,8.0,1.0,0.1
-140.0,20.0,8.0,0.0,0.1
-140.0,20.0,8.0,1.0,0.1
-135.0,-10.0,8.0,0.0,0.1
-135.0,-10.0,8.0,1.0,0.1
-135.0,-5.0,8.0,0.0,0.1
-135.0,-5.0,8.0,1.0,0.1
-135.0,0.0,8.0,0.0,0.1
-135.0,0.0,8.0,1.0,0.1
-135.0,5.0,8.0,0.0,0.1
-135.0,5.0,8.0,1.0,0.1
-135.0,10.0,8.0,0.0,0.1
-135.0,10.0,8.0,1.0,0.1
-135.0,15.0,8.0,0.0,0.1
-135.0,15.0,8.0,1.0,0.1
-135.0,20.0,8.0,0.0,0.1
-135.0,20.0,8.0,1.0,0.1
-130.0,-10.0,8.0,0.0,0.1
-130.0,-10.0,8.0,1.0,0.1
-130.0,-5.0,8.0,0.0,0.1
-130.0,-5.0,8.0,1.0,0.1
-130.0,0.0,8.0,0.0,0.1
-130.0,0.0,8.0,1.0,0.1
-130.0,5.0,8.0,0.0,0.1
-130.0,5.0,8.0,1.0,0.1
-130.0,10.0,8.0,0.0,0.1
-130.0,10.0,8.0,1.0,0.1
-130.0,15.0,8.0,0.0,0.1
-130.0,15.0,8.0,1.0,0.1
-130.0,20.0,8.0,0.0,0.1
-130.0,20.0,8.0,1.0,0.1
-125.0,-10.0,8.0,0.0,0.1
-125.0,-10.0,8.0,1.0,0.1
-125.0,-5.0,8.0,0.0,0.1
-125.0,-5.0,8.0,1.0,0.1
-125.0,0.0,8.0,0.0,0.1
-125.0,0.0,8.0,1.0,0.1
-125.0,5.0,8.0,0.0,0.1
-125.0,5.0,8.0,1.0,0.1
-125.0,10.0,8.0,0.0,0.1
-125.0,10.0,8.0,1.0,0.1
-125.0,15.0,8.0,0.0,0.1
-125.0,15.0,8.0,1.0,0.1
-125.0,20.0,8.0,0.0,0.1
-125.0,20.0,8.0,1.0,0.1
-120.0,-10.0,8.0,0.0,0.1
-120.0,-10.0,8.0,1.0,0.1
-120.0,-5.0,8.0,0.0,0.1
-120.0,-5.0,8.0,1.0,0.1
-120.0,0.0,8.0,0.0,0.1
-120.0,0.0,8.0,1.0,0.1
-120.0,5.0,8.0,0.0,0.1
-120.0,5.0,8.0,1.0,0.1
-120.0,10.0,8.0,0.0,0.1
-120.0,10.0,8.0,1.0,0.1
-120.0,15.0,8.0,0.0,0.1
-120.0,15.0,8.0,1.0,0.1
-120.0,20.0,8.0,0.0,0.1
-120.0,20.0,8.0,1.0,0.1
-115.0,-10.0,8.0,0.0,0.1
-115.0,-10.0,8.0,1.0,0.1
-115.0,-5.0,8.0,0.0,0.1
-115.0,-5.0,8.0,1.0,0.1
-115.0,0.0,8.0,0.0,0.1
-115.0,0.0,8.0,1.0,0.1
-115.0,5.0,8.0,0.0,0.1
-115.0,5.0,8.0,1.0,0.1
-115.0,10.0,8.0,0.0,0.1
-115.0,10.0,8.0,1.0,0.1
-115.0,15.0,8.0,0.0,0.1
-115.0,15.0,8.0,1.0,0.1
-115.0,20.0,8.0,0.0,0.1
-115.0,20.0,8.0,1.0,0.1
-110.0,-10.0,8.0,0.0,0.1
-110.0,-10.0,8.0,1.0,0.1
-110.0,-5.0,8.0,0.0,0.1
-110.0,-5.0,8.0,1.0,0.1
-110.0,0.0,8.0,0.0,0.1
-110.0,0.0,8.0,1.0,0.1
-110.0,5.0,8.0,0.0,0.1
-110.0,5.0,8.0,1.0,0.1
-110.0,10.0,8.0,0.0,0.1
-110.0,10.0,8.0,1.0,0.1
-110.0,15.0,8.0,0.0,0.1
-110.0,15.0,8.0,1.0,0.1
-110.0,20.0,8.0,0.0,0.1
-110.0,20.0,8.0,1.0,0.1
-105.0,-10.0,8.0,0.0,0.1
-105.0,-10.0,8.0,1.0,0.1
-105.0,-5.0,8.0,0.0,0.1
-105.0,-5.0,8.0,1.0,0.1
-105.0,0.0,8.0,0.0,0.1
-105.0,0.0,8.0,1.0,0.1
-105.0,5.0,8.0,0.0,0.1
-105.0,5.0,8.0,1.0,0.1
-105.0,10.0,8.0,0.0,0.1
-105.0,10.0,8.0,1.0,0.1
-105.0,15.0,8.0,0.0,0.1
-105.0,15.0,8.0,1.0,0.1
-105.0,20.0,8.0,0.0,0.1
-105.0,20.0,8.0,1.0,0.1
-100.0,-10.0,8.0,0.0,0.1
-100.0,-10.0,8.0,1.0,0.1
-100.0,-5.0,8.0,0.0,0.1
-100.0,-5.0,8.0,1.0,0.1
-100.0,0.0,8.0,0.0,0.1
-100.0,0.0,8.0,1.0,0.1
-100.0,5.0,8.0,0.0,0.1
-100.0,5.0,8.0,1.0,0.1
-100.0,10.0,8.0,0.0,0.1
-100.0,10.0,8.0,1.0,0.1
-100.0,15.0,8.0,0.0,0.1
-100.0,15.0,8.0,1.0,0.1
-100.0,20.0,8.0,0.0,0.1
-100.0,20.0,8.0,1.0,0.1
-140.0,-10.0,16.0,0.0,0.1
-140.0,-10.0,16.0,1.0,0.1
-140.0,-5.0,16.0,0.0,0.1
-140.0,-5.0,16.0,1.0,0.1
-140.0,0.0,16.0,0.0,0.1
-140.0,0.0,16.0,1.0,0.1
-140.0,5.0,16.0,0.0,0.1
-140.0,5.0,16.0,1.0,0.1
-140.0,10.0,16.0,0.0,0.1
-140.0,10.0,16.0,1.0,0.1
-140.0,15.0,16.0,0.0,0.1
-140.0,15.0,16.0,1.0,0.1
-140.0,20.0,16.0,0.0,0.1
-140.0,20.0,16.0,1.0,0.1
-135.0,-10.0,16.0,0.0,0.1
-135.0,-10.0,16.0,1.0,0.1
-135.0,-5.0,16.0,0.0,0.1
-135.0,-5.0,16.0,1.0,0.1
-135.0,0.0,16.0,0.0,0.1
-135.0,0.0,16.0,1.0,0.1
-135.0,5.0,16.0,0.0,0.1
-135.0,5.0,16.0,1.0,0.1
-135.0,10.0,16.0,0.0,0.1
-135.0,10.0,16.0,1.0,0.1
-135.0,15.0,16.0,0.0,0.1
